route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE384857,OCESN,"","Nevers / Moulins / St Germain / Riom / Clermont Fd (ligne 9)",,2,,,
OCE384853,OCESN,"","Clermont Fd / Aurillac (ligne 2)",,2,,,
OCE460859,OCESN,"","Cars Clermont Fd / Mauriac",,3,,,
OCE424860,OCESN,"","Cars St Eloy / Montluçon",,3,,,
OCE540929,OCESN,"","Cars Montluçon / St Amand",,3,,,
OCE456859,OCESN,"","Cars Bort Les Orgues / Neussargues",,3,,,
OCE432860,OCESN,"","Cars  St Gervais / Riom",,3,,,
OCE464860,OCESN,"","Cars Arvant / Millau",,3,,,
OCE484888,OCESN,"","Cars Dunières / Firminy",,3,,,
OCE484868,OCESN,"","Cars Arvant / Le Puy",,3,,,
OCE556927,OCESN,"","Cars Vichy / Arlanc",,3,,,
OCE396880,OCESN,"","Cars Vichy / Montluçon",,3,,,
OCE1337991,OCESN,"","Cars travaux CTX-LPU-SE",,3,,,
OCESN-87734004-87641423,OCESN,"","Clermont-Ferrand - Volvic",,2,,,
OCESN-87734004-87734475,OCESN,"","Clermont-Ferrand - Thiers",,2,,,
OCESN-87734004-87641001,OCESN,"","Clermont-Ferrand - Montluçon-Ville",,2,,,
OCE384852,OCESN,"","Clermont Fd / Le Puy (ligne 3)",,2,,,
OCESN-87641001-87576009,OCESN,"","Montluçon-Ville - Vierzon",,2,,,
OCESN-87734004-87734699,OCESN,"","Clermont-Ferrand - Le Puy-en-Velay",,2,,,
OCESN-87734004-87732404,OCESN,"","Clermont-Ferrand - Gannat",,2,,,
OCESN-87641001-87576322,OCESN,"","Montluçon-Ville - St-Amand-Montrond-Orval",,2,,,
OCE428859,OCESN,"","Cars Montluçon / Clermont Fd",,3,,,
OCESN-87589606-87641423,OCESN,"","Ancizes-St-Georges-Bour - Volvic",,3,,,
OCESN-87734053-87680595,OCESN,"","Riom-Châtel-Guyon - St-Gervais-Ch-LPA.",,3,,,
OCESN-87734004-87641134,OCESN,"","Clermont-Ferrand - St-Gervais-Mairie",,3,,,
OCESN-87589606-87734004,OCESN,"","Ancizes-St-Georges-Bour - Clermont-Ferrand",,3,,,
OCE384864,OCESN,"","Aurillac / Figeac / Capdenac",,2,,,
OCESN-87641001-87732008,OCESN,"","Montluçon-Ville - Vichy",,3,,,
OCESN-87645002-87613109,OCESN,"","Aurillac - Capdenac",,2,,,
OCESN-87641001-87409490,OCESN,"","Montluçon-Ville - Urcay-Hotel-du-Lyon-d'O",,3,,,
OCESN-87645002-87613091,OCESN,"","Aurillac - Figeac",,3,,,
OCE540928,OCESN,"","Cars  Gannat / Clermont Fd",,3,,,
OCESN-87645507-87680553,OCESN,"","Neussargues - Riom_Es_M_la_Poste.",,3,,,
OCESN-87732404-87734053,OCESN,"","Gannat - Riom-Châtel-Guyon",,3,,,
OCESN-87641001-87734053,OCESN,"","Montluçon-Ville - Riom-Châtel-Guyon",,3,,,
OCE540927,OCESN,"","Cars Montluçon / St Germain",,3,,,
OCESN-87734871-87783241,OCESN,"","Massiac-Blesle - St-Chély-d'Apcher",,3,,,
OCESN-87734871-87395822,OCESN,"","Massiac-Blesle - St-Flour-les-Allées",,3,,,
OCESN-87734251-87783241,OCESN,"","Arvant - St-Chély-d'Apcher",,3,,,
OCESN-87734251-87395822,OCESN,"","Arvant - St-Flour-les-Allées",,3,,,
OCE480859,OCESN,"","Cars Neussargues / St Chély d'Apcher",,3,,,
OCESN-87645507-87783241,OCESN,"","Neussargues - St-Chély-d'Apcher",,3,,,
OCESN-87645507-87783175,OCESN,"","Neussargues - St-Flour-Chaudes-Aigues",,3,,,
OCESN-87783241-87395822,OCESN,"","St-Chély-d'Apcher - St-Flour-les-Allées",,3,,,
OCE532896,OCESN,"","Cars Ambert / Le Puy",,3,,,
OCESN-87734574-87734699,OCESN,"","Ambert - Le Puy-en-Velay",,3,,,
OCESN-87734632-87734699,OCESN,"","La Chaise-Dieu - Le Puy-en-Velay",,3,,,
OCE484866,OCESN,"","Cars St Georges / Langeac",,3,,,
OCESN-87734319-87734301,OCESN,"","Langeac - St-Georges-d'Aurac",,3,,,
OCE480864,OCESN,"","Cars Vic Le Comte / Brioude",,3,,,
OCESN-87734251-87734202,OCESN,"","Arvant - Issoire",,3,,,
OCESN-87395665-87734186,OCESN,"","Issoire-Lycée-Deville - Vic-le-Comte",,3,,,
OCESN-87734202-87395830,OCESN,"","Issoire - Le-Breuil-sur-Couze-Lyc",,3,,,
OCESN-87734269-87734202,OCESN,"","Brioude - Issoire",,3,,,
OCESN-87734269-87407569,OCESN,"","Brioude - Brioude-Lycée-Lafayette",,3,,,
OCESN-87734319-87734699,OCESN,"","Langeac - Le Puy-en-Velay",,3,,,
OCESN-87734269-87734699,OCESN,"","Brioude - Le Puy-en-Velay",,3,,,
OCESN-87734699-87734301,OCESN,"","Le Puy-en-Velay - St-Georges-d'Aurac",,2,,,
OCESN-87734251-87734699,OCESN,"","Arvant - Le Puy-en-Velay",,3,,,
OCESN-87734319-87731802,OCESN,"","Langeac - St-George-d'Aurac-Bourg",,3,,,
OCESN-87641043-87420976,OCESN,"","Lapeyrouse(Puy-de-Dôme) - St-Eloy-les-Mines-Lycée",,3,,,
OCE432859,OCESN,"","Cars Lapeyrouse / St Eloy/St Gervais",,3,,,
OCESN-87641043-87641092,OCESN,"","Lapeyrouse(Puy-de-Dôme) - St-Eloy",,3,,,
OCESN-87641092-87641423,OCESN,"","St-Eloy - Volvic",,3,,,
OCESN-87641001-87641092,OCESN,"","Montluçon-Ville - St-Eloy",,3,,,
OCESN-87641001-87680595,OCESN,"","Montluçon-Ville - St-Gervais-Ch-LPA.",,3,,,
OCE452859,OCESN,"","Cars Laqueuille / Ussel",,3,,,
OCESN-87641274-87594093,OCESN,"","Laqueuille - Ussel",,3,,,
OCESN-87734004-87594093,OCESN,"","Clermont-Ferrand - Ussel",,3,,,
OCE420859,OCESN,"","Cars Clermont Fd / Ussel",,3,,,
OCESN-87734004-87395947,OCESN,"","Clermont-Ferrand - Mauriac-Lycée-Cortat",,3,,,
OCESN-87734004-87645267,OCESN,"","Clermont-Ferrand - Mauriac",,3,,,
OCESN-87641274-87641472,OCESN,"","Laqueuille - Le-Mont-Dore-Gare",,3,,,
OCESN-87734574-87732008,OCESN,"","Ambert - Vichy",,3,,,
OCE532907,OCESN,"","Cars Clermont Fd / Arlanc",,3,,,
OCESN-87734459-87732008,OCESN,"","Pont-de-Dore - Vichy",,3,,,
OCESN-87734251-87645002,OCESN,"","Arvant - Aurillac",,3,,,
OCESN-87409425-87641423,OCESN,"","Pontgibaud-Ville - Volvic",,3,,,
OCESN-87734699-87698662,OCESN,"","Le Puy-en-Velay - Saint-Etienne-Chtx-G.Ro",,3,,,
OCESN-87645002-87594572,OCESN,"","Aurillac - St-Denis-près-Martel",,3,,,
OCESN-87734269-87734319,OCESN,"","Brioude - Langeac",,3,,,
OCESN-87696328-87732008,OCESN,"","Moulins-sur-Allier - Vichy",,3,,,
OCESN-87775288-87775007,OCESN,"","Alès - Nîmes",,2,,,
OCESN-87775288-87775171,OCESN,"","Alès - La Bastide-St-Laurent",,2,,,
OCESN-87734004-87641472,OCESN,"","Clermont-Ferrand - Le-Mont-Dore-Gare",,3,,,
OCESN-87693291-87734004,OCESN,"","- Clermont-Ferrand",,3,,,
OCESN-87734004-87722025,OCESN,"","Clermont-Ferrand - Lyon-Perrache",,2,,,
OCE572935,OCESN,"","Cars Clermont Fd / St Etienne",,3,,,
OCESN-87734004-87726000,OCESN,"","Clermont-Ferrand - St-Etienne-Châteaucreux",,3,,,
OCESN-87734699-87734749,OCESN,"","Le Puy-en-Velay - Retournac",,3,,,
OCESN-87734004-87723197,OCESN,"","Clermont-Ferrand - Lyon-Part-Dieu",,3,,,
OCESN-87734731-87734699,OCESN,"","Chamalières - Le Puy-en-Velay",,3,,,
OCE484887,OCESN,"","Cars Le Puy / Firminy",,3,,,
OCESN-87734004-87734459,OCESN,"","Clermont-Ferrand - Pont-de-Dore",,3,,,
OCESN-87481002-87486571,OCESN,"","Nantes - St-Gilles-Croix-de-Vie",,2,,,
OCESN-87396002-87394296,OCESN,"","Le Mans - Nogent-le-Rotrou",,3,,,
OCESN-87481002-87471003,OCESN,"","Nantes - Rennes",,2,,,
OCESN-87478404-87471003,OCESN,"","Laval - Rennes",,2,,,
OCESN-87484303-87481002,OCESN,"","Cholet - Nantes",,3,,,
OCE25,OCESN,"","Nantes - Cholet",,3,,,
OCESN-87481440-87481002,OCESN,"","Clisson - Nantes",,2,,,
OCE1141945,OCESN,"","Cars Reguliers L 24 (Le Mans - Alencon)",,3,,,
OCESN-87396036-87396044,OCESN,"","La Guierche - Montbizot",,3,,,
OCE1217986,OCESN,"","Cars Reguliers L 08 (La Roche - Les Sables d'O.)",,3,,,
OCESN-87486019-87486449,OCESN,"","La Roche-sur-Yon - Les Sables-d'Olonne",,3,,,
OCE829852,OCESN,"","Cars Reguliers L 06  (Nantes - Clisson - Cholet)",,3,,,
OCESN-87484303-87481440,OCESN,"","Cholet - Clisson",,3,,,
OCE829858,OCESN,"","Cars Reguliers L 11  (Nantes - St Gilles Croix de Vie)",,3,,,
OCE701666,OCESN,"","BUS TER CHALONS-LANGRES",,3,,,
OCE701669,OCESN,"","BUS TER TROYES - NOGENT-SUR-SEINE",,3,,,
OCE1197980,OCESN,"","BUS Chalons - Verdun",,3,,,
OCE1185975,OCESN,"","CAR TER CHARLEVILLE - HIRSON",,3,,,
OCE701668,OCESN,"","BUS TER TROYES - LAROCHES-MIGENNES",,3,,,
OCESN-87118158-87118000,OCESN,"","Romilly-sur-Seine - Troyes",,3,,,
OCE701665,OCESN,"","BUS TER SEDAN-LA FERTE SUR CHIERS",,3,,,
OCE701667,OCESN,"","BUS TER TROYES - CHAUMONT",,3,,,
OCE1181945,OCESN,"","CAR TRAVAUX  PARIS-MULHOUSE GRAND EST",,3,,,
OCE981882,OCESN,"","CAR TX PARIS - BAR LE DUC",,3,,,
OCE981891,OCESN,"","CAR TX CHARLEVILLE-THIONVILLE",,3,,,
OCE981893,OCESN,"","CAR TX CTH - CM - EPR - RE",,3,,,
OCE981884,OCESN,"","CAR TX CGV - RE - DN",,3,,,
OCESN-87142000-87175000,OCESN,"","Chaumont - St-Dizier",,2,,,
OCESN-87172007-87172254,OCESN,"","Charleville-Mézières - Sedan",,2,,,
OCESN-87295600-87172007,OCESN,"","Aulnoye Aymeries - Charleville-Mézières",,2,,,
OCESN-87113001-87212027,OCESN,"","Paris-Est - Strasbourg",,2,,,
OCESN-87142125-87182063,OCESN,"","Culmont-Chalindrey - Mulhouse",,3,,,
OCE3,OCESN,"","Châteaubriant - Rennes",,2,,,
OCE1097905,OCESN,"","St Brieuc-Dinan",,3,,,
OCE1097897,OCESN,"","Chateaubriant - Janze",,3,,,
OCE1097894,OCESN,"","Morlaix-Roscoff",,3,,,
OCE5,OCESN,"","Rennes - Saint Malo",,2,,,
OCESN-87471003-87476606,OCESN,"","Rennes - Vannes",,2,,,
OCESN-87471003-87473009,OCESN,"","Rennes - St-Brieuc",,2,,,
OCESN-87474338-87474635,OCESN,"","Morlaix - Roscoff",,2,,,
OCESN-87478164-87478073,OCESN,"","Dinan - Dol",,2,,,
OCESN-87471300-87471003,OCESN,"","Redon - Rennes",,2,,,
OCESN-87478032-87471003,OCESN,"","Montreuil-sur-Ille - Rennes",,2,,,
OCESN-87471003-87478107,OCESN,"","Rennes - St-Malo",,2,,,
OCESN-87473207-87471003,OCESN,"","Guingamp - Rennes",,3,,,
OCESN-87478032-87478024,OCESN,"","Montreuil-sur-Ille - St-Médard-sur-Ille",,3,,,
OCESN-87476002-87476317,OCESN,"","Lorient - Quimperlé",,3,,,
OCE1149946,OCESN,"","Lorient/Quimperlé",,3,,,
OCE1097895,OCESN,"","Dol-Dinan",,3,,,
OCESN-87745000-87745679,OCESN,"","Bellegarde-Gare - Evian-les-Bains",,2,,,
OCE496868,OCESN,"","Cars Lyon - Bellegarde - Genève",,3,,,
OCE164707,OCESN,"","Cars Grenoble - Gap - Briancon",,3,,,
OCE156687,OCESN,"","Cars Lyon - Annecy",,3,,,
OCE160693,OCESN,"","Cars (Aix) - Chambéry- Bourg-St-Maurice",,3,,,
OCE144649,OCESN,"","Cars Lyon - Lozanne - Paray-Le-Monial",,3,,,
OCE164703,OCESN,"","Cars Lyon - Bourg-en-Bresse (via Villars)",,3,,,
OCE160703,OCESN,"","Cars Ambérieu - Bourg-en-Bresse",,3,,,
OCE156695,OCESN,"","Cars St-Claude - Oyonnax - Bourg - Lyon",,3,,,
OCE889871,OCESN,"","Cars travaux LYD - SAG - CR",,3,,,
OCE140646,OCESN,"","Cars Lyon - Oyonnax - St-Claude - Morez",,3,,,
OCE156704,OCESN,"","Cars Clermont-Fd - Montbrison - St-Etienne",,3,,,
OCE889858,OCESN,"","Cars travaux LPU - FNY - SE - LY",,3,,,
OCE889864,OCESN,"","Cars travaux LY - BGD-  AE - EV",,3,,,
OCE1081891,OCESN,"","Cars travaux LY - SGB",,3,,,
OCE889867,OCESN,"","Cars travaux ACY - SGB",,3,,,
OCE889865,OCESN,"","Cars travaux AE - ACY",,3,,,
OCE1081890,OCESN,"","Cars travaux LYP - GCO",,3,,,
OCE889849,OCESN,"","Cars travaux LYD - ACY",,3,,,
OCE1081892,OCESN,"","Cars travaux AMB - CR",,3,,,
OCE889869,OCESN,"","Cars travaux LYD - CR - BSM",,3,,,
OCESN-87741132-87746008,OCESN,"","Aix-les-Bains-le-Revard - Annecy",,2,,,
OCESN-87745000-85010082,OCESN,"","Bellegarde-Gare - Genève",,3,,,
OCESN-87745000-87745646,OCESN,"","Bellegarde-Gare - Thonon-les-Bains",,2,,,
OCESN-87741009-87742007,OCESN,"","Chambéry-Chal.-les-Eaux - Modane",,2,,,
OCESN-87741009-87741074,OCESN,"","Chambéry-Chal.-les-Eaux - Culoz",,3,,,
OCESN-87745497-87745679,OCESN,"","Annemasse - Evian-les-Bains",,2,,,
OCESN-87746784-87746479,OCESN,"","Chamonix-Mont-Blanc - St-Gervais-L-B-Le-Fayet",,3,,,
OCESN-87741132-87741009,OCESN,"","Aix-les-Bains-le-Revard - Chambéry-Chal.-les-Eaux",,2,,,
OCESN-87723429-87741009,OCESN,"","Bourgoin-Jallieu - Chambéry-Chal.-les-Eaux",,2,,,
OCESN-87741793-87741009,OCESN,"","Bourg-St-Maurice - Chambéry-Chal.-les-Eaux",,2,,,
OCESN-87741009-87723494,OCESN,"","Chambéry-Chal.-les-Eaux - St-André-le-Gaz",,2,,,
OCESN-87746008-87746479,OCESN,"","Annecy - St-Gervais-L-B-Le-Fayet",,3,,,
OCESN-87741132-87742007,OCESN,"","Aix-les-Bains-le-Revard - Modane",,2,,,
OCE1389992,OCESN,"","Cars substitution Lyon St-Paul - Sain Bel",,3,,,
OCE889852,OCESN,"","Cars travaux LY - GE (01-62)",,3,,,
OCESN-87745927-87746305,OCESN,"","Genève-Eaux-Vives-Rieu - La Roche-sur-Foron",,3,,,
OCESN-87335521-87761718,OCESN,"","Grenoble-Gare-Routière - St-Marcellin",,3,,,
OCESN-87741645-87741009,OCESN,"","Albertville - Chambéry-Chal.-les-Eaux",,3,,,
OCESN-87741009-87741728,OCESN,"","Chambéry-Chal.-les-Eaux - Moûtiers-Salins-Brides",,2,,,
OCESN-87746008-87741009,OCESN,"","Annecy - Chambéry-Chal.-les-Eaux",,2,,,
OCESN-87746008-87745497,OCESN,"","Annecy - Annemasse",,2,,,
OCESN-87746008-87746305,OCESN,"","Annecy - La Roche-sur-Foron",,2,,,
OCESN-87741009-87697128,OCESN,"","Chambéry-Chal.-les-Eaux - Lyon-Part-Dieu-Gare-Rou",,3,,,
OCESN-87745000-87697128,OCESN,"","Bellegarde-Gare - Lyon-Part-Dieu-Gare-Rou",,3,,,
OCESN-87745497-87746305,OCESN,"","Annemasse - La Roche-sur-Foron",,3,,,
OCESN-87742007-87742320,OCESN,"","Modane - St-Jean-de-Maurienne-A.",,3,,,
OCE140635,OCESN,"","Cars Chambéry - Aix-Les-Bains - Annecy",,3,,,
OCE140637,OCESN,"","Cars Annecy - Genève",,3,,,
OCE140636,OCESN,"","Cars Bellegarde - Chamonix",,3,,,
