,,Name,Status,Date,Link,Coords
Aix-en-Provence,5,Camp des Milles,"Classé,Inscrit","1993,2004",https://fr.wikipedia.org/wiki/Camp_des_Milles,"(43.5033, 5.3856)"
Aix-en-Provence,6,"Cathédrale Saint-Sauveur,(Notice PA commune avec le cloître Saint-Sauveur)","Classé,Classé","1840,1875",https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-Sauveur_d%27Aix-en-Provence,"(43.531944, 5.447222)"
Aix-en-Provence,7,Château de la Calade,"Inscrit,Classé","2011,2015",https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_la_Calade,"(43.57278, 5.38972)"
Aix-en-Provence,8,Château de la Gaude,Classé,1963,https://fr.wikipedia.org/wiki/Quartier_des_Pinchinats,"(43.5689, 5.4785)"
Aix-en-Provence,9,Château de la Pioline,Classé,1976,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_la_Pioline,"(43.508611, 5.404722)"
Aix-en-Provence,10,"Cloître Saint-Sauveur,(Notice PA commune avec la cathédrale Saint-Sauveur)","Classé,Classé","1840,1875",https://fr.wikipedia.org/wiki/Clo%C3%AEtre_Saint-Sauveur_(Aix-en-Provence),"(43.531628, 5.447503)"
Aix-en-Provence,11,Église de la Madeleine,Classé,1988,https://fr.wikipedia.org/wiki/%C3%89glise_de_la_Madeleine_d%27Aix-en-Provence,"(43.52944, 5.45139)"
Aix-en-Provence,12,Église du Saint-Esprit,Classé,1985,https://fr.wikipedia.org/wiki/%C3%89glise_du_Saint-Esprit_d%27Aix-en-Provence,"(43.527417, 5.446861)"
Aix-en-Provence,13,Église Saint-Jean-Baptiste du Faubourg,Classé,1983,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-Baptiste_du_Faubourg,"(43.529066, 5.443655)"
Aix-en-Provence,14,Église Saint-Jean-de-Malte,Classé,1840,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-de-Malte_d%27Aix-en-Provence,"(43.525601, 5.452672)"
Aix-en-Provence,15,Fondation Vasarely,Classé,"2013,[,7,]",https://fr.wikipedia.org/wiki/Fondation_Vasarely,"(43.521545, 5.424754)"
Aix-en-Provence,16,Halle aux grains,Classé,1983,https://fr.wikipedia.org/wiki/Halle_aux_grains_d%27Aix-en-Provence,"(43.529592, 5.448003)"
Aix-en-Provence,17,Hôtel d'Aiguines,"Inscrit,Classé","1984,1984",https://fr.wikipedia.org/wiki/H%C3%B4tel_d%27Aiguines,"(43.532606, 5.446988)"
Aix-en-Provence,18,Hôtel d'Albertas,"Classé,Classé,Inscrit","1926,1991,1991",https://fr.wikipedia.org/wiki/H%C3%B4tel_d%27Albertas,"(43.527929, 5.448638)"
Aix-en-Provence,19,Hôtel d'Antoine ou de Lestang-Parade,"Inscrit,Classé,Classé","1929,1980,2004",https://fr.wikipedia.org/wiki/H%C3%B4tel_d%27Antoine_ou_de_Lestang-Parade,"(43.527191, 5.453264)"
Aix-en-Provence,20,Hôtel d'Arlatan-Lauris,"Classé,Inscrit,Inscrit","1983,1983,2000",https://fr.wikipedia.org/wiki/H%C3%B4tel_d%27Arlatan-Lauris,"(43.527329, 5.453987)"
Aix-en-Provence,21,Hôtel de Boisgelin,Classé,1964,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Boisgelin_(Aix-en-Provence),"(43.525399, 5.4502)"
Aix-en-Provence,22,Hôtel Bonnet de la Beaume,Classé,1990,https://fr.wikipedia.org/wiki/H%C3%B4tel_Bonnet_de_la_Beaume,"(43.5262, 5.4506)"
Aix-en-Provence,23,Hôtel Boyer d'Éguilles,Classé,1988,https://fr.wikipedia.org/wiki/H%C3%B4tel_Boyer_d%27%C3%89guilles,"(43.528048, 5.449003)"
Aix-en-Provence,24,Hôtel Boyer de Fonscolombe,Classé,1989,https://fr.wikipedia.org/wiki/H%C3%B4tel_Boyer_de_Fonscolombe,"(43.531226, 5.447224)"
Aix-en-Provence,25,Hôtel de Caumont,Classé,1990,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Caumont_(Aix-en-Provence),"(43.525667, 5.448824)"
Aix-en-Provence,26,Hôtel de Châteaurenard,Classé,1990,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Ch%C3%A2teaurenard,"(43.530968, 5.447423)"
Aix-en-Provence,27,Hôtel Maurel de Pontevès,Classé,1990,https://fr.wikipedia.org/wiki/H%C3%B4tel_Maurel_de_Pontev%C3%A8s,"(43.526892, 5.4499)"
Aix-en-Provence,28,Hôtel d'Estienne-de-Saint-Jean,Classé,1937,https://fr.wikipedia.org/wiki/H%C3%B4tel_d%27Estienne-de-Saint-Jean,"(43.530919, 5.447439)"
Aix-en-Provence,29,Hôtel de Forbin,"Inscrit,Classé","1990,1991",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Forbin,"(43.526709, 5.448593)"
Aix-en-Provence,30,Hôtel de Foresta,"Classé,Inscrit","1990,1990",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Foresta,"(43.525319, 5.450097)"
Aix-en-Provence,31,Hôtel de Grimaldi-Régusse,Classé,1973,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Grimaldi-R%C3%A9gusse,"(43.527314, 5.454088)"
Aix-en-Provence,32,Hôtel de Joursenvault,"Inscrit,Classé","1987,1990",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Joursenvault,"(43.525494, 5.451894)"
Aix-en-Provence,33,Hôtel Paul Arbaud,Classé,1989,https://fr.wikipedia.org/wiki/H%C3%B4tel_Paul_Arbaud,"(43.5264, 5.4499)"
Aix-en-Provence,34,Hôtel Peyronetti,Classé,1983,https://fr.wikipedia.org/wiki/H%C3%B4tel_Peyronetti,"(43.5283, 5.4479)"
Aix-en-Provence,35,Hôtel Raousset-Boulbon,"Inscrit,Classé","1987,1989",https://fr.wikipedia.org/wiki/H%C3%B4tel_Fauris_de_Saint-Vincens,"(43.5264, 5.4475)"
Aix-en-Provence,36,"Hôtel de Reboul-Lambert,Dit aussi de Lagoy ou Vermond.",Classé,1990,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Reboul-Lambert,"(43.5255, 5.4493)"
Aix-en-Provence,37,Hôtel de Valbelle,Classé,1983,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Valbelle,"(43.5309, 5.4507)"
Aix-en-Provence,38,Hôtel de Venel,Classé,"2014,[,8,]",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Venel,"(43.53062, 5.446309)"
Aix-en-Provence,39,Jardin de Grassi,Classé,1958,https://fr.wikipedia.org/wiki/Aquae_Sextiae,"(43.5331, 5.444)"
Aix-en-Provence,40,Monument de Joseph Sec,Classé,1969,https://fr.wikipedia.org/wiki/Joseph_Sec,"(43.5331, 5.4461)"
Aix-en-Provence,41,Oppidum d'Entremont,"Inscrit,Inscrit,Classé","1946,1947,1980",https://fr.wikipedia.org/wiki/Oppidum_d%27Entremont,"(43.552222, 5.439167)"
Aix-en-Provence,42,Palais archiépiscopal,"Inscrit,Classé","1926,1942",https://fr.wikipedia.org/wiki/Palais_archi%C3%A9piscopal_d%27Aix-en-Provence,"(43.5315, 5.4479)"
Aix-en-Provence,43,Pavillon Vendôme,"Classé,Classé,Inscrit","1914,1953,1953",https://fr.wikipedia.org/wiki/Pavillon_Vend%C3%B4me_(Aix-en-Provence),"(43.53111, 5.44222)"
Aix-en-Provence,44,Place d'Albertas,Classé,2000,https://fr.wikipedia.org/wiki/Place_d%27Albertas,"(43.527837, 5.44877)"
Aix-en-Provence,45,Pont de Saint-Pons,Classé,1944,https://fr.wikipedia.org/wiki/Pont_de_Saint-Pons,"(43.505833, 5.347778)"
Aix-en-Provence,46,Thermes romains,Classé,1922,https://fr.wikipedia.org/wiki/Thermes_romains_d%27Aix-en-Provence,"(43.530829, 5.444183)"
Ajaccio,0,Cathédrale Notre-Dame-de-l'Assomption,Classé,1906,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame-de-l%27Assomption_d%27Ajaccio,"(41.9175, 8.73806)"
Ajaccio,1,Maison Bonaparte,Classé,1924,https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_la_Maison_Bonaparte,"(41.918026, 8.738567)"
Ajaccio,2,Palais Fesch,"Inscrit,Classé","1976,2011",https://fr.wikipedia.org/wiki/Mus%C3%A9e_Fesch,"(41.921884, 8.738613)"
Albi,0,Cathédrale Sainte-Cécile,Classé,1862,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Sainte-C%C3%A9cile_d%27Albi,"(43.92849, 2.14295)"
Albi,1,"Collégiale Saint-Salvi,collégiale, cloître","Classé,Classé","1846,1922",https://fr.wikipedia.org/wiki/Coll%C3%A9giale_Saint-Salvi_d%27Albi,"(43.92794, 2.14456)"
Albi,2,Église Notre-Dame-de-la-Drèche,Classé,1995,https://fr.wikipedia.org/wiki/%C3%89glise_Notre-Dame-de-la-Dr%C3%A8che,"(43.96944, 2.15417)"
Albi,3,Maison Enjalbert,Classé,1921,https://fr.wikipedia.org/wiki/Maison_Enjalbert,"(43.92799005, 2.14664136)"
Albi,4,Maison des Viguiers,Classé,1862,https://fr.wikipedia.org/wiki/Maison_des_Viguiers,"(43.92806, 2.14681)"
Albi,5,"Palais de la Berbie,musée Toulouse-Lautrec","Classé,Classé","1862,1965",https://fr.wikipedia.org/wiki/Palais_de_la_Berbie,"(43.92922, 2.14342)"
Albi,6,Pont Vieux,Classé,1921,https://fr.wikipedia.org/wiki/Pont_Vieux_(Albi),"(43.93119, 2.14456)"
Alençon,0,Basilique Notre-Dame,Classé,1862,https://fr.wikipedia.org/wiki/Basilique_Notre-Dame_d%27Alen%C3%A7on,"(48.4299, 0.0887)"
Alençon,1,Château des ducs,Classé,1862,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_des_Ducs_d%27Alen%C3%A7on,"(48.4294, 0.083435)"
Alençon,2,Hôtel de Guise,Classé,1914,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Guise_(Alen%C3%A7on),"(48.4328, 0.0911)"
Alençon,3,Hôtel Libert,Classé,1947,https://fr.wikipedia.org/wiki/H%C3%B4tel_Libert,"(48.431023, 0.085986)"
Alençon,4,Maison d'Ozé,Classé,1903,https://fr.wikipedia.org/wiki/Maison_d%27Oz%C3%A9,"(48.430105, 0.089618)"
Alençon,5,Tribunal de commerce,"Classé,Classé","1913,1958",https://fr.wikipedia.org/wiki/Tribunal_de_commerce_d%27Alen%C3%A7on,"(48.430268, 0.088379)"
Alet-les-Bains,0,Abbaye,Classé,1922,https://fr.wikipedia.org/wiki/Abbaye_d%27Alet-les-Bains,"(42.996039, 2.255067)"
Alet-les-Bains,1,Cathédrale Notre-Dame,Classé,1862,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_d%27Alet,"(42.99591, 2.255212)"
Amboise,0,Château d'Amboise,Classé,1840,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27Amboise,"(47.4131, 0.9858)"
Amboise,1,Château de Chanteloup,"Inscrit,Inscrit,Classé","1937,1994,1996",https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Chanteloup_(Indre-et-Loire),"(47.3911, 0.9702)"
Amboise,2,Clos Lucé,Classé,1862,https://fr.wikipedia.org/wiki/Clos_Luc%C3%A9,"(47.4102, 0.992)"
Amboise,3,Église Saint-Florentin,Classé,1963,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Florentin,"(47.413, 0.9834)"
Amiens,0,Caserne Stengel,Classé,1966,https://fr.wikipedia.org/wiki/Ancienne_caserne_Stengel_(Amiens),"(49.89374, 2.29078)"
Amiens,1,Cathédrale Notre-Dame,Classé,1862,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_d%27Amiens,"(49.89444, 2.30194)"
Amiens,2,Cimetière de La Madeleine,"Inscrit,Classé","1986,1995",https://fr.wikipedia.org/wiki/Cimeti%C3%A8re_de_La_Madeleine_(Amiens),"(49.91378, 2.28125)"
Amiens,3,Citadelle,"Classé,Inscrit,Classé","1840,1978,2016,[,2,]",https://fr.wikipedia.org/wiki/Citadelle_d%27Amiens,"(49.90606, 2.29861)"
Amiens,4,Église Sainte-Anne,"Inscrit,Classé","2006,2007",https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Anne_d%27Amiens,"(49.88747, 2.30742)"
Amiens,5,Église Saint-Germain-l'Écossais,Classé,1906,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Germain-l%27%C3%89cossais_d%27Amiens,"(49.89639, 2.29639)"
Amiens,6,Église Saint-Leu,Classé,1906,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Leu_d%27Amiens,"(49.89764, 2.30111)"
Amiens,7,"Gisement paléolithique de Saint-Acheul (,Jardin archéologique de Saint-Acheul,)","Classé,Inscrit","1947,1952",https://fr.wikipedia.org/wiki/Jardin_arch%C3%A9ologique_de_Saint-Acheul,"(49.8786, 2.3291)"
Amiens,8,"Hôtel Bouctôt-Vagniez,actuelle,Chambre régionale de commerce et d'industrie de Picardie",Classé,1994,https://fr.wikipedia.org/wiki/H%C3%B4tel_particulier_Bouct%C3%B4t_Vagniez,"(49.88915, 2.30271)"
Amiens,9,"Hôtel des Trésoriers de France,actuel,Musée de l'Hôtel de Berny","Classé,Inscrit","1993,2009",https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_l%27H%C3%B4tel_de_Berny,"(49.89315, 2.30296)"
Amiens,10,Maison du Bailliage,"Inscrit,Classé","1926,1941",https://fr.wikipedia.org/wiki/Maison_du_Bailliage_(Amiens),"(49.89468, 2.29499)"
Amiens,11,Maison du Sagittaire,Classé,1941,https://fr.wikipedia.org/wiki/Maison_du_Sagittaire,"(49.89298, 2.29995)"
Amiens,12,Moulin Passe-Arrière,Classé,1987,https://fr.wikipedia.org/wiki/Moulin_Passe-Arri%C3%A8re,"(49.900762, 2.300474)"
Amiens,13,Moulin Passe-Avant,Classé,1986,https://fr.wikipedia.org/wiki/Moulin_Passe-Avant,"(49.9007, 2.3002)"
Amiens,14,Musée de Picardie,Classé,2012,https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_Picardie,"(49.89056, 2.29542)"
Angers,0,"Abbaye Saint-Nicolas,actuellement Communauté du Bon-Pasteur,et maison de formation de la langue française pour émissaires étrangers","Classé,Inscrit,Inscrit,Inscrit","1955,1955,1961,1995",https://fr.wikipedia.org/wiki/Abbaye_Saint-Nicolas_d%27Angers,"(47.4751, -0.576)"
Angers,1,"Abbaye Saint-Serge,Lycée Joachim-du-Bellay","Classé,Classé,Classé,Classé","1840,1907,1908,1967",https://fr.wikipedia.org/wiki/Abbaye_Saint-Serge_d%27Angers,"(47.476, -0.5462)"
Angers,2,"Abbaye Toussaint,Galerie David d'Angers",Classé,1902,https://fr.wikipedia.org/wiki/Abbaye_Toussaint_d%27Angers,"(47.4691, -0.5563)"
Angers,3,"Palais du Tau,ancien évêché,actuellement maison diocésaine des Œuvres",Classé,1907,https://fr.wikipedia.org/wiki/Palais_du_Tau_(Angers),"(47.4709, -0.5543)"
Angers,4,Abbaye du Ronceray,"Classé,Inscrit,Classé,Inscrit","1840,1931,1990,1990",https://fr.wikipedia.org/wiki/Abbaye_du_Ronceray_d%27Angers,"(47.4756, -0.5613)"
Angers,5,"Abbaye Saint-Aubin d'Angers,, actuelle préfecture","Classé,Classé,Classé,Classé,Inscrit","1862,1901,1904,1968,2007",https://fr.wikipedia.org/wiki/Abbaye_Saint-Aubin_d%27Angers,"(47.4681, -0.5532)"
Angers,6,Cathédrale Saint-Maurice,Classé,1862,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-Maurice_d%27Angers,"(47.4705, -0.5548)"
Angers,7,Château d'Angers,"Classé,Classé","1875,1913",https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27Angers,"(47.47, -0.56)"
Angers,8,"Collégiale Saint-Martin,puis couvent des pères du Saint-Sacrement,puis externat Saint-Maurille,actuellement lycée Saint-Martin",Classé,1928,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Martin_d%27Angers,"(47.4689, -0.5519)"
Angers,9,"Couvent des Cordeliers,dit Prieuré de la Baumette",Classé,1946,https://fr.wikipedia.org/wiki/Couvent_des_Cordeliers_d%27Angers,"(47.4507, -0.5876)"
Angers,10,Couvent du Carmel,Classé,1963,https://fr.wikipedia.org/wiki/Couvent_du_Carmel_d%27Angers,"(47.477, -0.5641)"
Angers,11,"Église Saint-Laurent,actuellement,synagogue,.",Classé,1965,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Laurent_d%27Angers,"(47.4774, -0.5585)"
Angers,12,Église de la Trinité,Classé,1840,https://fr.wikipedia.org/wiki/%C3%89glise_de_la_Trinit%C3%A9_d%27Angers,"(47.4751, -0.5612)"
Angers,13,Fortification d'agglomération dite enceinte du Bas-Empire,Classé,1907,https://fr.wikipedia.org/wiki/Enceinte_du_Bas-Empire_d%27Angers,"(47.4694, -0.5567)"
Angers,14,Greniers Saint-Jean,Classé,1914,https://fr.wikipedia.org/wiki/Greniers_Saint-Jean_d%27Angers,"(47.4778, -0.5592)"
Angers,15,"Hospices d'Angers,ou Hôpital Sainte-Marie,actuellement Centre hospitalier universitaire",Classé,1930,https://fr.wikipedia.org/wiki/Centre_hospitalier_universitaire_d%27Angers,"(47.4822, -0.5591)"
Angers,16,"Hôtel de Pincé,actuellement musée Pincé",Classé,1875,https://fr.wikipedia.org/wiki/Logis_Pinc%C3%A9,"(47.472, -0.552)"
Angers,17,"Hôtel de Tinténiac,puis hôtel Grandet de la Plesse",Classé,1984,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Tint%C3%A9niac,"(47.4767, -0.5612)"
Angers,18,"Hôpital Saint-Jean l'Evangéliste,Hôtel-Dieu,actuellement musée Jean Lurçat et de la Tapisserie contemporaine",Classé,1860,https://fr.wikipedia.org/wiki/H%C3%B4pital_Saint-Jean,"(47.4781, -0.5578)"
Angers,19,"Hôtel du Roi-de-Pologne,actuellement siège d'Angers Accueil",Classé,1922,https://fr.wikipedia.org/wiki/H%C3%B4tel_du_Roi-de-Pologne,"(47.4694, -0.5632)"
Angers,20,"Hôtel dit Logis Barrault,puis Grand séminaire,actuellement,musée des Beaux-Arts",Classé,1902,https://fr.wikipedia.org/wiki/Logis_Barrault,"(47.469, -0.555)"
Angers,21,"Maison d'Adam,et Ève,ou maison d'Adam,ou maison de l'Arbre-de-Vie",Classé,1922,https://fr.wikipedia.org/wiki/Maison_d%27Adam,"(47.4703, -0.5541)"
Angoulême,0,Cathédrale Saint-Pierre,Classé,1840,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-Pierre_d%27Angoul%C3%AAme,"(45.64889, 0.15167)"
Angoulême,1,Hôtel de ville,Classé,"2013,[,1,]",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_d%27Angoul%C3%AAme,"(45.64833, 0.15611)"
Annecy,0,Cathédrale Saint-Pierre,Classé,1906,https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-Pierre_d%27Annecy,"(45.899224, 6.125653)"
Annecy,1,Château,Classé,1959,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27Annecy,"(45.897718, 6.12642)"
Annecy,2,Église Saint-Maurice,"Inscrit,Classé","1943,1957",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Maurice_d%27Annecy,"(45.8991, 6.12785)"
Annecy,3,Palais de l'Isle,Classé,1900,https://fr.wikipedia.org/wiki/Palais_de_l%27Isle,"(45.898605, 6.126978)"
Arles,0,Abbaye de Montmajour,"Classé,Classé","1840,1921",https://fr.wikipedia.org/wiki/Abbaye_de_Montmajour,"(43.70561, 4.66375)"
Arles,1,"Abbaye Saint-Césaire,monastère Saint-Jean","Classé,Classé,Inscrit,Classé","1840,1908,1941,1989",https://fr.wikipedia.org/wiki/Abbaye_Saint-C%C3%A9saire_(Arles),"(43.67614, 4.63161)"
Arles,2,Amphithéâtre,Classé,1840,https://fr.wikipedia.org/wiki/Ar%C3%A8nes_d%27Arles,"(43.67772, 4.63122)"
Arles,3,Aqueduc de Barbegal,Classé,1886,https://fr.wikipedia.org/wiki/Aqueduc_et_moulins_de_Barbegal,"(43.70278, 4.72139)"
Arles,4,Aqueduc de Pont-de-Crau,Classé,1922,https://fr.wikipedia.org/wiki/Aqueduc_du_pont_de_Crau,"(43.66508, 4.6475)"
Arles,5,Borne milliaire du château d'Estoublon,Classé,1927,https://fr.wikipedia.org/wiki/Borne_milliaire_du_ch%C3%A2teau_d%27Estoublon,"(43.6725, 4.61639)"
Arles,6,"Chapelle de la Charité,,,de l'ancien couvent des Carmélites (Hôtel Jules César)",Classé,1927,https://fr.wikipedia.org/wiki/Chapelle_de_la_Charit%C3%A9_d%27Arles,"(43.675058, 4.628679)"
Arles,7,Chapelle de la Genouillade,Classé,1942,https://fr.wikipedia.org/wiki/Chapelle_de_la_Genouillade,"(43.6727, 4.64044)"
Arles,8,"Cirque Romain,fouilles archéologiques",Classé,1992,https://fr.wikipedia.org/wiki/Cirque_d%27Arles,"(43.67272, 4.61764)"
Arles,9,"Cloître Saint-Trophime,& bâtiments claustraux","Classé,Classé","1846,1943",https://fr.wikipedia.org/wiki/Clo%C3%AEtre_Saint-Trophime,"(43.67666, 4.62806)"
Arles,10,Église des Dominicains ou frères Prêcheurs,"Classé,(église),Inscrit,(cloître)","1921,2014,[,1,]",https://fr.wikipedia.org/wiki/%C3%89glise_des_Dominicains_d%27Arles,"(43.67869, 4.62583)"
Arles,11,Église Notre-Dame-la-Major,Classé,1945,https://fr.wikipedia.org/wiki/%C3%89glise_de_la_Major_d%27Arles,"(43.67769, 4.6325)"
Arles,12,Église Sainte-Anne,Classé,1875,https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Anne_d%27Arles,"(43.67664, 4.62719)"
Arles,13,Église Saint-Julien,Classé,1941,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Julien_(Arles),"(43.67936, 4.62953)"
Arles,14,"Forum,: substructions servant de fondations et appelées cryptoportiques","Classé,Classé,Classé","1886,1937,1938",https://fr.wikipedia.org/wiki/Forum_d%27Arles,"(43.6768, 4.62758)"
Arles,15,Hôtel de Barrême,Classé,1988,https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Barr%C3%AAme,"(43.70509, 4.59258)"
Arles,16,"Hôtel de ville,avec le beffroi et le,Palais des Podestats","Classé,Classé,Classé","1920,1938,1942",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_d%27Arles,"(43.6768, 4.62758)"
Arles,17,"Nécropole des Alyscamps,: église Saint-Honorat, chapelle de la famille Porcellet et nécropole","Classé,Classé","1840,1862",https://fr.wikipedia.org/wiki/Alyscamps,"(43.67158, 4.63661)"
Arles,18,Obélisque,Classé,1840,https://fr.wikipedia.org/wiki/Ob%C3%A9lisque_d%27Arles,"(43.67641, 4.62762)"
Arles,19,Pont de Constantin,Classé,1920,https://fr.wikipedia.org/wiki/Pont_de_Constantin_(Arles),"(43.682063, 4.626786)"
Arles,20,"Pont Van-Gogh,et maison pontière","Inscrit,Classé","1986,1988",https://fr.wikipedia.org/wiki/Pont_Van-Gogh_(Arles),"(43.65689, 4.62092)"
Arles,21,Porte de la Cavalerie,Classé,1928,https://fr.wikipedia.org/wiki/Porte_de_la_Cavalerie,"(43.681145, 4.631402)"
Arles,22,Primatiale Saint-Trophime,Classé,1840,https://fr.wikipedia.org/wiki/Ancienne_cath%C3%A9drale_Saint-Trophime_d%27Arles,"(43.67666, 4.62806)"
Arles,23,Théâtre antique,Classé,1840,https://fr.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_antique_d%27Arles,"(43.67639, 4.62972)"
Arles,24,Thermes de Constantin,"Classé,Classé","1840,1922",https://fr.wikipedia.org/wiki/Thermes_de_Constantin,"(43.67889, 4.62722)"
Arles,25,Verrerie de Trinquetaille,"Classé,Inscrit","1987,1987",https://fr.wikipedia.org/wiki/Verrerie_de_Trinquetaille,"(43.681888, 4.620833)"
